id,year,y,x,treat,post,cluster,province
1,2000,10.000,0.00,0,0,2,B
2,2000,10.020,0.01,0,0,3,C
3,2000,10.040,0.02,0,0,4,A
4,2000,10.060,0.03,0,0,5,B
5,2000,10.080,0.04,0,0,6,C
6,2000,10.100,0.05,0,0,7,A
7,2000,10.120,0.06,0,0,8,B
8,2000,10.140,0.07,0,0,9,C
9,2000,10.160,0.08,0,0,10,A
10,2000,10.180,0.09,0,0,1,B
11,2000,10.200,0.10,0,0,2,C
12,2000,10.220,0.11,0,0,3,A
13,2000,10.240,0.12,0,0,4,B
14,2000,10.260,0.13,0,0,5,C
15,2000,10.280,0.14,0,0,6,A
16,2000,10.300,0.15,0,0,7,B
17,2000,10.320,0.16,0,0,8,C
18,2000,10.340,0.17,0,0,9,A
19,2000,10.360,0.18,0,0,10,B
20,2000,10.380,0.19,0,0,1,C
21,2000,10.400,0.20,0,0,2,A
22,2000,10.420,0.21,0,0,3,B
23,2000,10.440,0.22,0,0,4,C
24,2000,10.460,0.23,0,0,5,A
25,2000,10.480,0.24,0,0,6,B
26,2000,10.500,0.25,0,0,7,C
27,2000,10.520,0.26,0,0,8,A
28,2000,10.540,0.27,0,0,9,B
29,2000,10.560,0.28,0,0,10,C
30,2000,10.580,0.29,0,0,1,A
31,2000,10.600,0.30,0,0,2,B
32,2000,10.620,0.31,0,0,3,C
33,2000,10.640,0.32,0,0,4,A
34,2000,10.660,0.33,0,0,5,B
35,2000,10.680,0.34,0,0,6,C
36,2000,10.700,0.35,0,0,7,A
37,2000,10.720,0.36,0,0,8,B
38,2000,10.740,0.37,0,0,9,C
39,2000,10.760,0.38,0,0,10,A
40,2000,10.780,0.39,0,0,1,B
41,2000,10.800,0.40,0,0,2,C
42,2000,10.820,0.41,0,0,3,A
43,2000,10.840,0.42,0,0,4,B
44,2000,10.860,0.43,0,0,5,C
45,2000,10.880,0.44,0,0,6,A
46,2000,10.900,0.45,0,0,7,B
47,2000,10.920,0.46,0,0,8,C
48,2000,10.940,0.47,0,0,9,A
49,2000,10.960,0.48,0,0,10,B
50,2000,10.980,0.49,0,0,1,C
51,2000,11.000,0.50,0,0,2,A
52,2000,11.020,0.51,0,0,3,B
53,2000,11.040,0.52,0,0,4,C
54,2000,11.060,0.53,0,0,5,A
55,2000,11.080,0.54,0,0,6,B
56,2000,11.100,0.55,0,0,7,C
57,2000,11.120,0.56,0,0,8,A
58,2000,11.140,0.57,0,0,9,B
59,2000,11.160,0.58,0,0,10,C
60,2000,11.180,0.59,0,0,1,A
61,2000,11.200,0.60,0,0,2,B
62,2000,11.220,0.61,0,0,3,C
63,2000,11.240,0.62,0,0,4,A
64,2000,11.260,0.63,0,0,5,B
65,2000,11.280,0.64,0,0,6,C
66,2000,11.300,0.65,0,0,7,A
67,2000,11.320,0.66,0,0,8,B
68,2000,11.340,0.67,0,0,9,C
69,2000,11.360,0.68,0,0,10,A
70,2000,11.380,0.69,0,0,1,B
71,2000,11.400,0.70,0,0,2,C
72,2000,11.420,0.71,0,0,3,A
73,2000,11.440,0.72,0,0,4,B
74,2000,11.460,0.73,0,0,5,C
75,2000,11.480,0.74,0,0,6,A
76,2000,11.500,0.75,0,0,7,B
